ds,target,NBEATS,elm,lstm,MLP,rf,SVR,arima,LRF,LSVR,TLSTM,KNN,TRANSFORMER
2021-09-30,0.2525789394168304,1.0473757982254028,0.1986025569038081,0.29666847,0.1590282614962894,0.479715123130382,0.2732147617120172,0.2363800426838785,0.2845023757079233,0.2327037472385424,0.25682345,0.633193867863277,0.20889246
2021-10-31,0.2556005438888049,0.6928099989891052,0.1973465603450995,0.29650855,0.1710500968225121,0.479715123130382,0.2769108404933134,0.2099068692120705,0.2883987648905794,0.2397907487264299,0.2681814,0.6332028089003396,0.22510318
2021-11-30,0.2087535881553105,0.615635871887207,0.152077617541372,0.29666543,0.1658363828379933,0.479715123130382,0.2518499599391927,0.218098009894898,0.2845541055764836,0.2099717836859302,0.27292237,0.6331371422501478,0.22200774
2021-12-31,0.2060462305484212,0.5062676668167113,0.1568053212186391,0.2992447,0.1894956549701251,0.479715123130382,0.243037602486197,0.2145092311135787,0.2845541055764836,0.1961426097229694,0.2409367,0.6007232257429689,0.19218947
2022-01-31,0.1643722616709473,0.5084750056266785,0.1457732071965825,0.30097345,0.1719101609082361,0.479715123130382,0.2329890532214006,0.1843425012986179,0.2845541055764836,0.1870809070491135,0.23544057,0.6004222930621301,0.18616855
2022-02-28,0.1557183864632119,0.5850639939308168,0.086139852083854,0.30322862,0.1695826722609816,0.479715123130382,0.2108786170712567,0.1651750724885098,0.2845541055764836,0.1524054627579389,0.20597325,0.6001457090646596,0.16012475
2022-03-31,0.2315727451276628,0.7582955956459044,0.1399237547606449,0.30662,0.1593627889713702,0.479715123130382,0.2305780327779983,0.1609758797823656,0.2845541055764836,0.1829341123290935,0.19627278,0.6332000642181194,0.14823577
2022-04-30,0.2225321045475147,0.7820800542831421,0.1631803491153579,0.30570152,0.1294397785225989,0.479715123130382,0.2409196533949765,0.1978818702835661,0.2845541055764836,0.1974720863767598,0.24902351,0.6332016352490681,0.18822709
2022-05-31,0.2740927632572897,0.820384442806244,0.1681655643525207,0.30674997,0.1550170387507224,0.479715123130382,0.2678190418040136,0.260556852393029,0.2845023757079233,0.2366543162018932,0.24951553,0.6332182197599462,0.1922059
2022-06-30,0.289418341139145,0.811800718307495,0.2047053865709049,0.30521104,0.1666666018862107,0.479715123130382,0.2817039378387791,0.2828932204126371,0.2904968979706735,0.2544048505764444,0.28499344,0.633210721914194,0.22455138
2022-07-31,0.3255083849524097,0.8453906774520874,0.2260718219253806,0.30414653,0.1874160570759377,0.479715123130382,0.2955911537804537,0.2806364470461761,0.293406462765787,0.2718156212201816,0.30127868,0.633230105212827,0.24596684
2022-08-31,0.3259434959963742,0.5974872708320618,0.1863232422789013,0.30316412,0.2080956729201614,0.479715123130382,0.2941673439612046,0.2913687868833102,0.2909851185580631,0.27252003133612,0.32929683,0.6331824797196184,0.27567482
2022-09-30,0.3264994712192175,0.5926878452301024,0.2460468277629865,0.30448624,0.2237066299793768,0.479715123130382,0.2962851121144173,0.2958482918257925,0.2973838550703444,0.2724921824691191,0.3347382,0.6331420542420113,0.27233034
2022-10-31,0.3472639371506271,0.5024397373199463,0.2119273814261042,0.3061405,0.2486133467687823,0.479715123130382,0.2922150200849142,0.2835898358133447,0.2966155214852107,0.2708202750677952,0.3370024,0.6254416487541542,0.28039527
2022-11-30,0.2889590572594048,0.4525493681430816,0.1820279317402386,0.3079073,0.2576932482634337,0.479715123130382,0.2639553278802449,0.2809798860160297,0.2871207113728923,0.2376946559090531,0.35388103,0.6252951385929042,0.28754964
2022-12-31,0.2669134310318779,0.3715330958366393,0.1926333059990356,0.31292608,0.2902338778275435,0.479715123130382,0.2586204699779775,0.2737177288871338,0.2814190266125703,0.2321735268316005,0.3166084,0.5872818607518636,0.25813553
